player_id,player_name,sex,n_games,win_rate,avg_ace,avg_df,avg_svpt,avg_first_in,avg_first_won,avg_second_won,avg_sv_gms,avg_bp_saved,avg_bp_faced,cluster,PC1,PC2,PC3,PC4,best_rank,rank_level,dominant_sex,mis_clustered_type
100644,Alexander Zverev,ATP,326,0.7392638036809807,9.126984126984127,3.3492063492063493,79.59682539682538,55.685714285714276,42.15555555555555,12.07936507936508,13.076190476190476,3.13968253968254,4.958730158730156,1,-2.4763305549079857,2.1300550881797244,-0.339351019873509,1.9112418746340332,2,1,ATP,Correct
103333,Ivo Karlovic,ATP,11,0.2727272727272727,16,4.454545454545454,82.0909090909091,53,41.72727272727273,14.909090909090908,13.909090909090908,2.6363636363636362,4.454545454545454,1,-3.662051658279468,3.5154344791239938,1.174301486724709,1.5400732709413598,121,17,ATP,Correct
103499,Aqeel Khan,ATP,9,0.5555555555555556,7.166666666666666,4.5,87.5,46.666666666666664,36,19.666666666666668,12.833333333333334,4.666666666666667,7.333333333333333,1,-2.6044013722233585,0.6013066007285686,1.4474100873300955,-0.9924501588029032,99999,30,ATP,Correct
103529,Aisam Ul Haq Qureshi,ATP,5,0.6,11.75,8.5,85,49.5,40.75,15,13.5,2.25,4.75,1,-2.8629610144392186,2.854448353624852,3.67415996753174,2.333077247991221,99999,30,ATP,Correct
103819,Roger Federer,ATP,20,0.7,9.210526315789474,1.263157894736842,103.3157894736842,68.05263157894737,50.21052631578947,19.57894736842105,15.8,4.684210526315789,6.894736842105263,1,-6.73128269260296,0.45628977556496475,-1.5494962298061163,0.2326636108167167,3,1,ATP,Correct
103852,Feliciano Lopez,ATP,66,0.31818181818181807,11.303030303030301,5,81.72727272727273,44.74242424242424,34.5,17.772727272727273,12.757575757575758,4.409090909090909,7.030303030303029,1,-2.278210810766724,1.3525853895961253,1.9951753101905068,-0.4858980610010119,51,9,ATP,Correct
103893,Paolo Lorenzi,ATP,7,0.14285714285714288,2.7142857142857144,2.857142857142857,64.71428571428571,38,25.142857142857142,11,9.714285714285714,4.571428571428571,8.142857142857142,2,2.1767219032044816,0.04449560203118109,-0.11787347545028813,-0.46299656507680453,112,16,WTA,Mis-clustered ATP
104229,Yen Hsun Lu,ATP,10,0.10000000000000002,2.3333333333333335,3.111111111111111,75.66666666666667,47.44444444444444,29.22222222222222,13,12.11111111111111,3.6666666666666665,7.888888888888889,2,0.026505189911647232,0.26347317125868985,-0.24864915608420207,0.1407327239057343,560,29,WTA,Mis-clustered ATP
104259,Philipp Kohlschreiber,ATP,30,0.3333333333333334,5.0357142857142865,1.75,87.10714285714286,53.214285714285715,36.964285714285715,18.107142857142858,13.642857142857142,5.107142857142857,8.142857142857142,1,-2.921358625875391,-0.22491843435002082,-0.8302958054512595,-1.0427195811215872,73,12,ATP,Correct
104269,Fernando Verdasco,ATP,44,0.29545454545454547,4.409090909090908,3,77.1590909090909,49.97727272727273,32.86363636363636,12.909090909090908,11.795454545454545,4.568181818181818,7.9318181818181825,1,-0.6680526855244681,-0.08754321201590685,-0.3177547548707794,0.2573339429862361,47,8,ATP,Correct
104291,Malek Jaziri,ATP,16,0.375,2.6428571428571432,1.6428571428571428,56.42857142857143,30.714285714285715,18.928571428571427,11.928571428571429,8.928571428571429,4.142857142857143,7.642857142857143,2,3.577691411249655,0.9044189483180171,-0.5162403452321539,-1.599810365374134,228,25,WTA,Mis-clustered ATP
104312,Andreas Seppi,ATP,41,0.39024390243902424,5.682926829268292,2.4146341463414633,90.95121951219512,53.09756097560975,36.58536585365854,18.975609756097562,14.146341463414634,5.170731707317073,8.73170731707317,1,-3.3707922923194933,-0.4552080185564266,-0.23216036310842875,-1.1581533165469369,71,12,ATP,Correct
104424,Go Soeda,ATP,6,0.33333333333333337,2.833333333333333,1.6666666666666667,73,46.333333333333336,31.333333333333332,14.166666666666666,12,3.5,6.333333333333333,1,-0.14088943404719192,1.2399976910527621,-1.1390022219092346,-0.32802237014959,110,16,ATP,Correct
104468,Gilles Simon,ATP,60,0.3833333333333335,3.220338983050847,3.254237288135594,78.08474576271186,46.30508474576271,31.05084745762712,15.101694915254237,12.067796610169491,4.033898305084746,7.694915254237289,1,-0.5320946770932614,0.33880183646693934,0.08197666962543491,-0.37697628701481256,52,9,ATP,Correct
104527,Stan Wawrinka,ATP,129,0.48837209302325646,8.17322834645669,1.921259842519685,84.77165354330708,48.37007874015748,36.590551181102356,19.102362204724407,13.519685039370078,4.086614173228346,6.409448818897637,1,-2.854186483921291,1.5589004841726781,-0.3313146772242238,-1.177360426456684,13,2,ATP,Correct
104542,Jo-Wilfried Tsonga,ATP,20,0.15000000000000002,7.45,2.6,79,46.9,34.05,15.35,12.05,4.7,7.3,1,-1.392555339445475,0.6650820609448932,-0.0953759048284068,-0.5356185139558589,30,5,ATP,Correct
104545,John Isner,ATP,121,0.5371900826446283,21.177966101694913,2.6694915254237284,89.11016949152543,61.26271186440678,48.610169491525426,15.220338983050846,14.584745762711865,2.822033898305084,4.042372881355933,1,-5.800313556356348,4.009196314710162,-0.029114558906932243,1.8567904353461773,18,3,ATP,Correct
104655,Pablo Cuevas,ATP,51,0.3921568627450978,5.352941176470589,2.588235294117647,79.90196078431373,52.21568627450981,36.509803921568626,13.784313725490197,12.529411764705882,4.333333333333334,7.117647058823529,1,-1.611882252811394,0.4486980491424731,-0.6288112981835987,0.3711433649908242,44,7,ATP,Correct
